Name,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,GroupedPosition
D. Dwyer,2,0,63,65,51,63,32,65,52,62,66,54,64,62,72,62,31,60,58,67,71,62,71,72,88,40,69,63,79,20,65,50,69,65,32,34,14,11,12,13,9,11,FW
E. Florescu,1,1,69,67,65,65,53,61,61,63,54,67,63,64,63,60,66,67,68,70,66,60,64,75,66,73,58,71,52,57,56,64,60,65,47,56,49,6,11,7,12,6,MF
T. Galletto,1,1,70,52,63,62,63,69,66,45,72,66,53,63,48,52,58,56,70,70,74,66,65,59,56,72,71,63,63,68,51,65,47,57,55,68,53,6,11,7,7,8,MF
L. Magnino,1,2,74,53,60,60,62,69,54,48,64,65,42,58,49,50,62,61,71,76,62,66,68,67,71,63,70,55,75,61,49,60,51,58,62,61,60,11,8,9,8,11,DF
M. Moreira,1,1,70,40,57,60,59,64,57,32,48,62,34,57,48,43,58,59,78,64,70,58,82,52,76,74,63,44,49,60,49,55,38,57,57,63,61,7,12,9,11,7,DF
J. Matete,2,2,77,54,61,67,63,68,55,54,50,65,44,65,47,47,63,63,76,78,84,65,83,55,76,81,55,54,83,64,63,63,50,64,64,65,63,13,13,14,9,12,MF
J. Pintado,1,1,77,34,48,60,60,54,58,28,44,49,25,62,48,31,45,53,78,77,72,54,81,44,61,68,42,33,63,55,48,41,41,44,60,66,70,7,5,13,9,10,DF
J. Trafford,1,1,65,63,64,64,27,62,12,8,10,48,9,10,14,12,45,12,33,17,27,57,27,48,33,17,58,9,28,7,7,48,16,26,5,13,13,65,63,64,62,64,GK
E. Tagseth,1,1,77,52,62,68,56,65,58,48,48,66,48,67,58,46,62,65,76,78,82,60,86,58,73,78,57,55,67,60,64,62,49,62,54,58,55,9,7,14,9,6,MF
T. Jacob,2,1,74,35,53,60,60,62,60,34,51,57,33,61,42,39,54,57,71,76,66,58,69,34,59,69,58,33,62,62,49,44,49,51,60,61,63,14,10,8,9,10,DF
A. Uysal,1,1,68,61,59,64,46,62,20,12,20,26,13,18,20,20,18,18,49,42,36,58,42,44,50,26,76,16,27,24,14,14,23,33,10,20,14,68,61,59,62,64,GK
G. Arévalos,1,1,60,63,61,65,31,64,11,9,12,18,6,11,8,11,12,12,33,29,28,62,40,46,55,23,40,8,22,10,5,50,12,21,8,11,13,60,63,61,64,65,GK
L. Carrizo,0,1,67,35,52,60,59,70,56,35,51,56,27,61,40,42,52,58,68,66,69,52,70,32,79,86,66,29,60,57,57,46,49,46,56,64,65,11,10,8,13,11,DF
R. Corlu,2,0,80,59,60,68,27,60,59,58,37,62,54,65,61,53,54,65,83,77,84,60,91,62,89,60,57,59,58,23,62,65,49,62,25,28,30,13,13,15,12,15,MF
S. Beusnard,2,1,81,58,63,69,57,52,55,62,49,68,61,70,58,48,61,67,82,81,64,65,90,54,54,60,48,51,51,58,53,67,63,71,52,64,58,14,6,12,7,5,MF
M. Chang,2,1,69,51,62,62,58,52,71,55,33,62,38,60,47,37,58,68,67,70,65,57,65,53,44,53,63,39,25,57,63,68,51,44,56,66,62,6,10,9,5,12,MF
E. Guarna,1,1,64,62,58,66,41,59,8,7,9,37,13,9,19,14,29,23,41,41,60,64,30,44,75,34,64,16,33,20,11,31,23,53,11,15,16,64,62,58,59,66,GK
Àlex Carbonell,0,1,44,60,63,68,63,59,59,60,57,66,49,67,59,51,65,68,50,39,74,63,80,62,54,60,56,62,66,63,57,63,49,54,62,65,62,5,5,12,12,14,MF
N. Zanellato,1,1,65,51,66,69,56,63,58,40,59,73,46,70,67,64,66,70,72,60,70,59,70,62,56,57,73,65,45,55,55,60,59,60,47,63,61,10,11,12,6,8,MF
Anglada,1,1,64,35,50,55,65,66,35,30,65,64,32,45,39,33,55,64,62,65,60,61,66,51,71,67,66,28,63,66,33,42,50,57,63,66,61,5,15,9,13,10,DF
Y. Rivas,2,1,75,62,52,67,28,55,59,66,55,54,55,70,39,50,40,62,78,72,81,55,60,58,61,54,65,59,28,16,60,55,65,60,16,36,35,12,11,15,13,9,FW
P. Patron,1,1,64,63,57,62,21,66,12,7,12,25,5,7,13,12,19,12,17,28,35,56,27,43,32,16,59,5,25,10,5,27,17,38,15,12,12,64,63,57,66,62,GK
M. Mirahmetjan,2,1,69,64,66,63,61,72,68,62,62,64,57,60,75,72,65,64,70,68,75,59,64,72,64,82,70,63,66,62,62,63,63,62,61,59,60,13,10,11,14,7,MF
Rodrigo Martins,2,1,79,51,57,68,27,54,60,51,60,61,58,69,53,49,53,65,81,78,81,61,67,52,47,54,57,45,48,18,59,55,56,58,22,27,31,12,6,5,8,14,MF
T. Lecanda,2,1,65,44,51,53,64,64,38,44,62,62,34,51,44,32,52,54,61,68,55,60,54,52,67,55,69,36,62,65,50,50,50,58,62,66,63,5,6,10,8,12,DF
Miguel Reisinho,1,1,55,52,63,63,58,68,51,49,57,69,45,62,58,47,67,67,54,55,61,60,57,59,71,61,74,50,63,54,58,67,63,64,56,63,59,6,5,6,6,7,MF
D. Boldor,1,1,68,32,41,43,64,74,33,27,69,53,22,28,19,18,53,51,65,70,67,50,69,45,74,73,80,32,59,58,43,32,26,45,62,67,66,11,14,14,14,8,DF
E. Larrosa,1,1,55,64,51,62,23,64,40,69,62,59,45,63,48,36,50,66,57,53,55,61,61,64,64,62,78,60,32,18,67,55,54,44,20,19,14,10,15,6,6,9,FW
Alejandro Garnacho,2,1,80,59,57,65,24,52,61,62,44,57,54,62,63,61,47,61,81,80,83,61,86,57,38,63,50,56,46,25,60,56,56,62,18,23,20,6,15,14,13,7,FW
M. Frese,2,1,78,56,61,67,57,64,62,55,49,65,52,66,59,40,57,67,77,78,75,58,73,65,74,69,64,52,55,55,65,60,47,61,56,63,56,9,10,12,7,10,MF
V. Pizarro,1,1,68,49,60,62,60,64,53,48,48,69,32,63,34,29,65,61,67,69,66,58,70,56,66,71,63,47,58,58,63,63,45,56,58,64,66,9,10,8,14,13,MF
G. Barès,1,1,60,49,63,63,59,64,56,50,53,67,32,63,55,56,66,64,61,60,60,60,61,55,56,68,67,47,54,62,57,66,35,68,60,58,56,9,13,10,12,6,MF
Kwon Soon Hyung,1,1,40,64,68,65,61,54,67,60,50,67,62,63,68,68,66,66,41,40,62,68,71,71,64,33,61,66,61,65,66,71,54,65,68,57,54,8,11,13,10,15,MF
T. Morton,1,1,65,47,62,67,59,58,52,40,57,69,41,67,50,50,66,69,67,63,61,60,70,55,61,62,50,48,70,58,60,61,57,70,56,64,61,12,13,5,13,12,MF
K. Hinokio,2,1,70,59,59,69,38,50,55,58,38,62,42,66,56,51,57,67,68,72,77,66,91,63,57,95,33,63,34,45,57,64,49,64,44,28,31,11,13,14,13,6,MF
Jean Carlos,1,1,71,46,60,61,56,69,65,39,52,64,51,60,60,53,59,64,70,72,62,54,62,63,68,76,71,40,56,56,58,51,45,55,56,56,55,12,9,7,8,13,DF
Ł. Łakomy,2,2,67,54,57,60,61,67,39,49,44,65,37,58,56,63,63,64,67,67,58,59,65,66,64,76,66,63,58,63,44,53,44,59,62,64,58,6,5,11,14,8,MF
N. Thiede,1,1,66,61,59,68,44,60,13,8,13,24,10,14,16,15,21,19,45,42,49,63,50,44,72,31,62,11,27,16,9,31,17,33,18,10,11,66,61,59,60,68,GK
N. McGinley,1,1,67,35,51,53,61,67,56,32,58,56,31,52,38,37,54,54,66,67,54,63,48,40,68,73,68,30,59,61,50,42,42,56,61,63,61,13,14,12,9,6,DF
L. Vásquez,1,1,65,61,61,64,40,62,15,9,20,26,11,14,21,16,16,20,40,41,37,63,43,46,59,32,50,16,21,20,17,31,23,26,20,14,11,65,61,61,62,64,GK
F. Arnaout,1,2,63,45,52,53,65,72,39,42,64,63,34,50,42,50,60,60,62,63,50,46,50,55,72,75,78,46,52,57,40,44,44,47,70,65,62,5,10,9,10,10,DF
A. Martínez,0,2,52,30,41,42,65,70,36,30,61,55,30,31,39,29,33,50,53,52,41,55,53,38,71,54,80,20,67,65,29,30,40,62,64,66,64,7,8,7,7,14,DF
G. Taylor,1,1,51,39,53,54,64,70,53,35,60,54,38,49,43,40,54,55,49,53,61,60,71,48,80,67,73,38,66,62,46,54,39,64,65,65,61,6,7,11,13,11,DF
E. Borja,1,1,70,66,45,59,21,65,34,67,58,51,46,58,47,46,36,58,67,73,73,59,47,71,64,54,80,65,42,15,67,52,67,50,20,17,13,13,9,10,13,11,FW
N. Ansell,0,1,43,29,48,44,63,80,37,25,63,63,26,33,41,31,57,49,54,34,60,56,62,45,51,85,88,25,63,63,27,31,29,56,63,65,61,8,11,12,14,12,DF
A. Obileye,1,2,72,51,53,53,62,74,37,45,61,60,45,54,46,55,59,56,71,73,35,55,58,71,72,71,78,51,70,62,42,55,46,59,60,64,63,8,15,9,10,11,DF
A. Lassiter,2,0,81,64,57,65,26,54,57,63,56,62,48,66,59,65,39,63,81,81,74,60,69,71,55,65,59,62,25,25,61,59,66,58,30,14,17,8,13,9,7,15,MF
M. Derbyshire,1,1,70,65,57,62,29,59,57,65,63,63,64,60,58,40,45,63,73,67,66,65,59,66,66,61,57,64,59,27,67,59,67,61,28,22,23,13,9,6,6,16,FW
H. Smith,1,0,53,64,48,56,31,78,38,65,68,55,53,59,44,39,47,62,54,53,33,61,33,66,71,65,90,63,68,32,65,51,60,58,20,30,27,14,11,11,7,12,FW
A. Liljenbäck,1,1,72,41,55,59,60,73,57,35,58,60,34,59,52,38,51,58,70,73,65,58,65,58,70,76,75,35,64,59,56,54,36,56,60,61,60,8,13,8,8,13,DF
P. Minissale,0,1,53,30,36,41,68,61,28,24,59,44,31,30,29,33,36,43,55,52,55,60,62,47,72,54,64,23,58,64,34,30,42,58,69,72,69,13,9,7,10,10,DF
Y. Engelhardt,1,1,67,45,59,60,61,67,58,38,59,66,37,59,42,38,60,61,65,69,62,64,62,57,74,74,63,48,64,63,53,55,44,57,60,63,59,9,14,6,13,8,MF
J. Rodríguez,1,2,65,57,61,61,62,66,61,55,55,65,45,60,55,53,60,62,66,65,58,60,67,60,64,70,65,61,66,64,55,60,58,58,63,64,60,15,8,11,12,12,MF
O. El Azzouzi,1,1,58,42,57,65,59,64,52,38,62,70,38,66,41,40,59,72,55,60,57,63,52,52,56,70,65,40,58,59,35,48,53,49,58,59,62,6,7,8,9,8,MF
K. Sentić,1,1,64,67,59,64,34,59,15,16,12,22,15,18,13,14,13,20,33,36,34,64,55,44,47,31,64,17,26,19,15,56,12,33,17,15,14,64,67,59,59,64,GK
G. Justiniano,1,2,54,31,45,38,68,61,45,30,70,58,29,23,26,35,43,50,53,55,46,50,54,40,70,60,65,22,50,70,30,32,51,63,65,70,67,8,8,5,8,12,DF
A. Oña,1,1,54,49,57,53,61,67,47,48,50,62,34,39,42,38,65,62,53,54,72,58,70,49,71,72,61,56,77,62,50,60,46,59,64,61,64,14,15,8,14,14,MF
Wei Zhen,1,1,66,34,54,51,64,69,41,32,55,65,31,42,30,36,62,57,66,66,60,60,68,41,51,69,74,31,63,63,41,53,41,52,62,68,65,9,8,7,8,9,DF
J. Troisi,1,0,62,60,67,64,48,69,65,55,56,71,60,63,66,60,67,65,67,57,68,64,64,67,71,78,73,64,46,46,65,62,64,65,39,55,50,12,10,14,6,13,MF
I. Suero Fernández,1,1,65,61,63,68,30,46,62,65,33,66,56,66,64,57,63,67,64,66,85,55,81,58,37,73,35,62,43,23,59,60,45,61,34,30,31,13,6,6,13,11,MF
S. Adrián,1,1,69,50,55,65,62,74,50,51,62,64,60,66,36,37,52,60,66,71,70,66,66,50,61,80,75,47,69,59,57,58,40,66,60,65,62,9,14,11,11,9,DF
C. Hemlein,1,1,78,62,59,65,39,69,60,60,54,58,59,64,69,66,53,64,78,78,74,59,72,66,68,70,67,62,74,32,58,59,65,63,33,40,57,14,14,8,7,6,MF
Lucas Soares,1,1,74,37,54,64,63,59,61,29,32,53,43,66,55,49,52,60,75,73,74,56,76,40,63,59,62,42,50,60,52,49,47,53,70,67,66,12,15,8,5,10,DF
G. Añasgo,2,2,70,50,59,61,60,62,62,45,55,61,61,64,55,45,55,55,70,70,65,60,67,52,70,72,58,55,55,60,58,60,55,50,61,62,60,14,9,14,5,9,DF
M. Vigorito,1,1,61,62,61,66,39,64,13,18,9,34,16,13,13,12,26,29,38,40,52,63,30,46,63,32,55,13,32,26,13,24,13,51,21,13,12,61,62,61,64,66,GK
J. Careaga,1,1,65,63,66,67,42,60,19,14,16,25,15,13,16,12,23,25,38,48,39,60,45,50,49,30,50,20,21,10,8,41,21,50,18,14,15,65,63,66,60,67,GK
W. Soleto,1,2,69,30,52,54,62,62,62,31,65,61,21,50,38,27,46,55,67,71,63,59,67,29,73,65,56,26,70,60,44,39,37,50,61,65,60,6,10,11,11,13,DF
D. Strelec,1,1,55,64,53,62,34,57,38,68,70,63,47,64,49,40,53,65,57,53,50,64,59,66,62,54,62,57,49,29,64,57,62,59,28,32,28,15,7,11,9,6,FW
G. Rólantsson,1,1,78,61,59,64,58,62,62,64,62,62,48,63,57,40,61,65,76,79,66,61,61,64,70,64,65,57,50,57,60,54,57,61,58,58,59,10,10,11,12,6,DF
D. Kun,1,2,77,55,61,68,66,63,59,54,53,65,47,65,49,45,62,65,82,73,81,62,90,59,67,88,43,58,82,67,59,60,46,62,66,67,70,8,8,12,13,15,DF
P. Keny,2,1,70,62,55,63,29,69,56,61,69,59,54,65,50,41,47,63,68,72,61,59,52,69,72,63,77,60,57,32,62,57,61,56,25,21,23,13,14,9,14,14,FW
J. Amofa,1,1,71,34,50,58,63,73,47,29,61,57,29,54,38,31,50,60,68,74,68,60,64,46,62,67,80,32,65,64,44,48,31,58,58,66,65,7,15,7,7,7,DF
Carlo Adriano,2,1,59,58,64,67,50,54,54,56,47,70,57,68,53,49,67,70,60,58,62,58,58,61,56,57,56,63,45,62,60,66,48,60,57,39,39,12,13,10,11,13,MF
N. Stierlin,1,2,68,54,54,59,63,73,50,52,62,62,41,55,36,39,53,61,69,68,64,61,67,63,77,72,75,62,68,60,42,55,37,58,61,68,64,10,8,9,11,6,DF
Hélder Morim,1,1,65,53,62,63,62,63,58,44,50,66,60,65,55,58,61,60,65,65,65,62,61,61,50,70,61,56,60,66,66,60,61,61,61,65,61,14,12,7,9,12,DF
A. Scarlatache,1,1,53,36,53,51,63,76,63,38,60,54,32,45,39,31,52,50,52,53,64,64,55,40,74,76,80,22,67,63,56,52,51,58,65,62,60,14,9,13,11,16,DF
L. Scherff,2,2,77,51,55,66,55,71,60,50,44,54,57,64,46,44,53,62,81,74,82,58,79,60,76,81,64,46,73,53,55,58,35,62,50,61,67,12,12,14,9,14,DF
A. Azhil,1,1,67,45,63,65,60,45,49,39,48,73,38,64,46,49,67,67,68,66,68,65,78,58,55,54,33,46,60,60,53,62,50,52,65,58,63,9,12,7,14,5,MF
B. Dartsmelia,2,2,68,56,65,63,60,44,60,54,42,70,64,60,61,63,65,68,70,66,58,60,75,55,58,47,40,60,48,62,62,65,50,68,60,64,65,9,10,11,8,11,MF
Piao Shihao,1,1,80,39,54,51,59,74,56,32,46,62,28,43,41,38,58,46,82,78,80,62,81,57,74,81,72,39,72,57,34,43,44,46,60,63,56,13,14,10,10,15,DF
Nelson Freitosa,1,1,59,47,66,74,48,72,14,6,11,19,8,12,9,11,16,16,48,49,50,65,61,50,75,39,65,7,20,11,9,37,19,61,9,8,11,59,47,66,72,74,GK
M. Lekven,1,1,49,54,65,65,60,71,64,46,59,66,65,63,68,61,65,64,49,49,70,64,81,66,72,75,70,59,70,61,62,65,43,71,62,60,55,6,9,10,11,12,MF
K. Hodžić,2,1,64,34,57,61,60,60,63,33,46,63,29,59,40,38,60,63,66,62,63,58,74,38,63,67,61,31,50,62,45,46,40,50,59,63,62,8,9,11,12,7,DF
R. Balk,1,1,82,60,54,66,26,49,54,60,30,58,46,67,48,44,52,64,83,81,76,60,74,64,35,67,49,59,32,23,59,53,62,54,32,21,22,6,13,12,12,11,MF
P. Ostachuk,1,0,67,52,55,60,62,66,51,48,67,62,52,57,49,56,54,61,69,66,67,60,61,64,75,54,70,49,70,65,43,51,57,65,60,60,60,7,10,12,6,7,DF
S. Paiva,2,1,76,61,49,65,22,53,30,64,65,62,58,64,34,42,50,63,72,80,74,65,65,60,63,64,57,57,28,13,62,48,60,59,28,11,13,12,14,14,10,10,FW
M. Galezo,1,2,59,38,44,55,64,63,25,40,64,62,23,45,27,28,60,65,55,62,55,65,64,40,67,62,65,35,60,65,40,29,33,62,67,63,60,10,13,5,5,9,DF
G. Fechner,1,1,65,41,56,58,64,75,41,38,62,65,27,52,34,40,64,65,66,65,64,58,58,51,71,75,77,42,72,62,43,58,41,54,65,66,63,14,11,7,6,7,DF
T. Hasal,1,1,64,61,58,68,27,62,14,7,14,21,6,8,11,11,17,12,27,26,23,63,35,44,53,23,63,7,18,13,6,30,13,23,8,11,13,64,61,58,62,68,GK
J. Donachie,1,1,57,32,48,43,63,76,38,31,64,64,26,34,30,27,54,51,55,58,47,54,37,38,71,77,85,30,52,62,26,33,43,63,63,64,62,15,10,12,14,6,DF
M. Smith,1,1,65,54,60,66,60,60,45,53,47,66,40,62,48,55,65,66,67,63,77,62,78,59,45,75,54,57,59,60,58,65,48,62,61,62,60,11,14,14,9,15,MF
C. Antoine,2,0,55,66,50,62,33,63,40,72,70,58,60,68,44,58,38,66,55,55,51,44,47,61,65,34,80,60,57,28,66,55,70,48,29,29,28,10,13,14,10,13,FW
O. Targhalline,1,1,51,48,66,64,59,55,56,47,59,72,49,70,54,52,66,67,50,51,44,63,38,59,50,60,47,39,68,64,44,72,54,54,56,57,60,6,7,5,9,8,MF
S. Ngezana,1,1,71,25,35,44,66,69,20,24,74,35,20,30,25,29,54,58,73,70,48,50,64,32,70,71,71,18,62,65,27,38,37,49,62,68,68,9,15,14,9,15,DF
P. Vroegh,1,1,60,54,63,64,56,59,52,48,46,69,50,61,57,57,67,67,63,58,69,63,67,64,56,68,56,57,58,54,61,63,44,64,55,61,55,10,7,5,12,11,MF
S. Williams,0,1,33,59,65,57,63,65,66,54,62,66,56,55,69,61,64,58,33,33,51,61,65,68,74,55,69,60,67,59,57,64,64,66,65,65,64,12,14,8,9,8,MF
D. Hume,2,1,83,37,52,63,57,59,62,29,54,56,30,62,43,31,41,61,81,84,74,56,77,52,56,72,57,37,50,57,59,50,42,57,57,58,58,11,7,6,7,10,DF
K. Burger,1,1,59,32,52,54,65,71,57,28,62,59,27,53,33,50,55,57,56,61,48,56,60,46,73,72,74,27,60,66,32,39,45,56,65,65,63,12,14,12,11,10,DF
G. Thomson,2,1,74,58,60,63,53,65,64,57,42,59,44,62,58,60,56,60,75,74,74,59,78,62,66,90,59,60,48,56,56,63,55,60,53,57,47,11,6,14,12,11,MF
A. Celli,1,1,64,46,57,59,60,70,59,48,48,65,42,60,53,42,58,57,65,63,64,57,59,48,69,73,77,46,47,58,32,44,41,53,63,60,65,11,9,13,11,7,DF
I. Benegas,1,1,33,30,47,47,65,65,40,32,71,65,24,38,37,23,58,56,32,34,54,55,56,41,76,62,66,17,65,63,23,24,37,52,65,67,58,16,12,8,15,11,DF
M. O'Hara,1,2,70,59,61,65,61,72,55,61,60,65,30,65,50,60,64,66,69,71,64,62,66,62,75,79,74,60,55,60,55,60,61,65,62,62,58,14,10,10,15,7,MF
C. González,1,1,74,65,57,63,35,59,51,68,67,60,56,65,56,65,55,56,72,75,73,63,74,58,31,68,62,65,45,23,65,55,66,65,34,33,35,8,8,14,10,14,FW
C. Depres,1,1,33,67,51,60,30,58,42,67,70,65,61,63,46,51,43,65,34,32,33,59,52,71,73,31,79,62,37,14,66,45,68,61,34,26,22,7,12,10,12,11,FW
A. Jovanović,1,1,52,32,47,53,63,73,28,26,66,61,29,49,26,25,56,57,49,54,48,60,57,52,49,62,85,25,63,63,36,43,38,61,65,62,60,8,11,12,12,7,DF
R. Lucero,1,1,79,31,50,61,58,60,62,27,46,55,33,64,48,32,49,53,77,80,74,58,70,28,60,71,54,35,63,55,56,34,42,45,57,62,66,9,10,13,6,14,DF
S. Muñoz,1,1,71,62,59,69,25,60,58,64,61,64,49,68,42,38,53,68,71,71,77,60,75,59,65,62,66,62,40,21,66,63,71,62,21,21,20,5,7,12,8,5,FW
M. Fritz,1,1,53,41,48,49,62,77,32,34,60,61,27,39,29,27,57,59,53,53,54,62,37,58,60,71,85,40,67,57,41,46,55,58,63,66,60,6,6,6,5,14,DF
D. Wright-Phillips,2,1,82,60,51,71,28,43,56,64,43,53,58,70,52,41,48,69,84,81,85,55,86,65,46,59,37,50,37,24,58,49,53,56,23,28,34,7,15,5,12,7,MF
M. Mejía,1,1,52,32,46,47,64,69,41,27,64,63,26,40,38,31,40,57,51,53,34,59,63,42,72,68,74,32,57,65,25,31,44,48,60,67,65,11,7,11,6,9,DF
A. Mucolli,2,1,72,53,57,68,34,52,58,55,32,59,46,66,55,48,46,65,76,69,88,61,78,57,41,66,52,46,37,28,64,64,50,65,35,37,40,14,6,7,14,8,MF
D. Błanik,1,2,76,57,57,66,42,62,60,58,53,59,33,66,51,34,58,65,78,75,77,56,82,61,57,71,53,59,72,46,57,58,47,48,35,43,45,5,14,8,10,12,MF
P. Karlsson,0,2,52,36,45,48,64,72,35,32,64,54,32,42,34,29,52,49,54,51,53,62,62,51,84,65,79,30,62,64,36,39,40,61,64,64,63,11,15,14,14,9,DF
E. List,2,1,93,63,52,64,28,62,51,64,53,57,54,62,48,41,44,60,94,92,86,58,82,70,81,83,62,58,32,18,59,54,56,59,19,33,35,9,15,11,7,11,FW
C. Thomas,1,2,67,59,60,61,61,71,56,57,59,64,49,60,51,48,62,62,69,65,61,61,62,61,59,79,73,59,61,60,57,63,72,66,62,62,61,14,14,12,12,14,MF
E. Tallig,1,1,73,59,64,69,51,64,61,58,51,68,48,67,58,67,63,66,76,71,85,61,81,64,62,83,60,61,49,56,62,60,50,61,49,51,47,9,9,7,9,12,MF
D. Pereira,2,1,80,61,59,68,34,54,59,61,50,60,59,67,64,51,53,64,84,76,82,58,85,72,49,59,51,53,54,29,57,61,56,61,32,34,34,6,7,5,13,13,MF
J. Pombo,1,1,51,32,38,39,65,70,27,29,64,50,32,35,30,29,35,40,52,50,38,61,43,39,57,65,75,28,69,62,28,32,44,44,64,67,65,11,9,10,9,8,DF
M. Sanabria,1,1,67,54,58,67,26,51,62,59,24,59,44,70,47,38,58,68,67,67,65,53,63,53,34,69,51,50,32,23,54,62,46,57,25,29,31,7,13,6,14,6,MF
C. Butcher,1,2,51,59,56,61,63,72,45,55,62,64,57,61,50,43,60,60,48,54,60,59,69,68,72,68,71,61,79,61,55,57,48,58,64,64,65,7,16,16,10,14,DF
I. Touray,2,2,84,48,56,62,56,68,60,48,51,56,45,60,56,58,53,57,82,85,81,56,77,49,88,88,61,45,56,57,54,55,48,59,56,58,56,10,10,10,11,12,DF
P. Kitchen,0,1,48,56,57,59,61,76,46,52,67,66,50,57,54,51,62,59,61,37,61,60,67,67,79,74,73,58,83,60,47,51,59,62,58,63,63,16,8,11,14,15,DF
T. Boss,1,1,67,62,60,64,48,62,9,9,8,29,10,16,13,18,28,21,47,49,48,63,48,45,61,29,67,11,31,19,11,52,33,37,15,9,9,67,62,60,62,64,GK
K. Vaesen,1,1,62,63,55,62,26,61,63,68,60,56,48,62,55,48,38,67,58,65,61,60,49,62,63,52,78,54,28,32,69,62,68,55,21,18,15,12,15,10,14,12,FW
Lee Jeong Hyeop,2,2,63,60,48,61,34,75,32,59,73,56,59,55,40,34,44,64,62,63,66,64,76,65,76,72,84,53,57,42,69,57,64,68,24,28,22,10,8,7,8,12,FW
L. McGee,1,1,65,63,63,65,37,63,15,15,14,44,14,15,12,13,45,28,33,43,35,58,46,47,53,26,53,13,26,14,7,47,31,40,12,17,21,65,63,63,63,65,GK
A. Alfaro,0,2,57,25,45,52,63,71,28,20,59,59,23,47,24,25,59,56,54,60,52,60,57,39,57,52,82,18,69,60,20,35,39,55,64,64,62,15,6,7,12,8,DF
H. Singh,1,1,47,61,65,64,54,64,61,53,58,65,65,63,70,60,66,64,50,44,68,62,71,73,71,66,70,62,46,60,62,68,67,66,48,54,52,10,9,6,8,11,MF
A. Kızıldağ,1,1,62,37,48,51,67,64,36,34,69,61,29,56,28,33,59,40,54,69,57,49,63,46,72,65,64,31,62,63,46,39,53,57,68,68,62,10,13,14,13,9,DF
F. Godoy,1,1,59,54,62,62,62,68,51,50,59,72,49,59,49,46,70,66,52,64,57,63,71,67,78,68,64,55,77,65,52,57,49,66,61,63,62,7,7,8,12,11,MF
S. Braem,1,1,71,65,46,70,21,59,32,69,60,51,48,74,55,31,42,68,67,74,65,60,75,63,63,58,59,62,57,16,63,54,64,70,23,12,17,6,13,13,10,9,FW
Y. Cohen,1,1,73,66,53,66,32,61,56,68,54,52,64,65,64,57,42,69,66,78,72,65,49,71,49,63,71,58,36,30,67,56,54,59,29,31,27,8,10,14,8,10,FW
A. Bakayoko,1,1,77,34,44,54,64,66,31,29,61,57,34,51,37,27,44,58,72,81,49,61,57,55,66,59,68,23,68,62,33,39,41,53,64,67,65,14,13,13,12,14,DF
P. Perdichizzi,1,1,67,34,48,49,63,68,48,25,61,56,34,39,28,36,54,53,65,68,66,62,69,61,80,63,68,28,72,55,28,38,40,52,62,70,62,6,6,6,15,15,DF
O. Valenzuela,1,1,63,58,59,64,62,62,45,60,44,65,45,65,61,55,61,67,62,64,55,61,73,55,60,70,58,60,60,55,65,61,57,55,65,67,65,12,7,10,7,12,MF
E. Just,2,1,84,61,61,68,38,55,63,62,43,62,54,65,65,60,55,65,83,85,87,60,83,62,56,66,51,61,50,35,61,63,55,63,38,35,47,13,9,10,15,12,MF
F. Berra,1,1,63,25,53,59,59,67,62,27,51,62,22,58,51,32,53,62,62,63,52,57,66,23,70,70,70,17,56,60,38,35,39,62,51,66,65,12,11,9,10,8,DF
G. Edwards,2,2,81,59,60,65,52,51,61,59,52,60,56,63,60,59,57,61,82,80,84,60,72,60,53,58,44,58,57,50,60,59,59,60,53,54,50,10,10,10,11,7,MF
D. Tront,1,2,65,44,55,55,63,72,49,35,57,65,31,51,34,34,60,57,62,68,61,48,77,58,62,77,72,53,68,64,47,52,43,50,62,65,63,11,8,14,8,8,MF
A. Salah-Eddine,2,1,77,31,58,64,59,62,57,27,53,65,28,64,45,39,54,66,75,78,65,59,64,34,61,62,62,31,61,57,58,58,37,63,57,64,62,14,8,15,14,12,DF
R. Meißner,2,1,68,64,43,62,22,69,33,68,65,46,57,60,40,34,40,64,70,67,67,58,69,72,80,63,74,52,60,15,65,51,59,53,17,18,15,7,5,6,13,10,FW
T. Hopper,2,1,62,63,52,61,34,76,48,65,65,58,58,59,42,45,45,63,59,65,63,65,64,65,80,79,80,56,62,17,66,57,61,62,26,41,43,9,8,8,9,9,FW
J. Hadjam,1,1,77,49,58,65,57,72,60,47,52,62,44,67,58,45,48,64,76,78,68,58,64,55,68,75,74,49,65,58,58,60,43,63,56,60,58,6,13,8,13,6,MF
J. Cárdenas,1,1,65,65,63,64,46,65,19,17,15,34,13,21,14,14,39,15,48,44,33,50,56,47,61,27,80,16,22,19,16,55,22,31,21,12,16,65,65,63,65,64,GK
Sergio Lozano,1,1,59,56,65,67,54,46,58,52,43,67,54,67,68,70,64,69,60,59,67,60,74,60,53,59,39,60,45,54,58,65,66,62,54,59,52,10,7,12,8,10,MF
